0.47,0.352,0.498,0.514,0.458,0.494,0.486,0.497,0.509,0.498,1
0.383,0.483,0.369,0.408,0.459,0.493,0.491,0.408,0.485,0.496,0
0.479,0.468,0.462,0.486,0.454,0.6,0.503,0.481,0.474,0.504,0
0.475,0.472,0.476,0.487,0.486,0.468,0.496,0.469,0.503,0.582,1
0.472,0.498,0.542,0.518,0.498,0.471,0.536,0.491,0.462,0.528,0
0.497,0.501,0.503,0.492,0.475,0.495,0.507,0.497,0.501,0.490,0
0.463,0.481,0.422,0.405,0.431,0.501,0.491,0.470,0.484,0.474,0
0.457,0.462,0.458,0.446,0.461,0.404,0.467,0.442,0.344,0.484,0
0.509,0.507,0.501,0.516,0.489,0.5,0.499,0.488,0.503,0.494,0
0.467,0.504,0.486,0.481,0.481,0.344,0.573,0.546,0.488,0.494,0
0.525,0.473,0.523,0.485,0.526,0.501,0.515,0.529,0.508,0.493,0
0.517,0.468,0.479,0.467,0.503,0.496,0.533,0.521,0.490,0.531,0
0.508,0.497,0.481,0.5,0.505,0.498,0.511,0.507,0.488,0.486,1
0.473,0.476,0.5,0.540,0.463,0.420,0.472,0.455,0.541,0.518,0
0.503,0.507,0.392,0.497,0.525,0.520,0.482,0.474,0.419,0.480,0
0.519,0.502,0.504,0.3,0.55,0.461,0.524,0.486,0.521,0.470,1
0.503,0.474,0.494,0.509,0.490,0.483,0.479,0.501,0.516,0.483,1
0.518,0.465,0.482,0.500,0.514,0.515,0.557,0.541,0.700,0.511,0
0.500,0.485,0.525,0.484,0.487,0.487,0.7,0.569,0.498,0.553,0
0.493,0.493,0.343,0.493,0.533,0.498,0.501,0.515,0.492,0.489,0
0.504,0.568,0.491,0.518,0.492,0.451,0.397,0.492,0.458,0.476,0
0.558,0.507,0.54,0.506,0.506,0.6,0.496,0.524,0.492,0.490,0
0.487,0.485,0.488,0.487,0.629,0.516,0.487,0.501,0.502,0.493,0
0.518,0.505,0.505,0.497,0.479,0.493,0.494,0.480,0.471,0.493,0
0.491,0.484,0.526,0.430,0.35,0.394,0.491,0.397,0.518,0.497,1
0.5,0.371,0.480,0.510,0.488,0.493,0.484,0.485,0.51,0.535,0
0.552,0.538,0.518,0.604,0.546,0.528,0.550,0.511,0.562,0.570,1
0.471,0.512,0.595,0.444,0.512,0.513,0.5,0.467,0.509,0.512,0
0.477,0.468,0.486,0.483,0.381,0.490,0.511,0.481,0.495,0.518,1
0.512,0.525,0.493,0.181,0.486,0.5,0.473,0.511,0.487,0.515,0
0.480,0.5,0.497,0.492,0.479,0.473,0.460,0.509,0.538,0.488,1
0.487,0.502,0.489,0.500,0.472,0.541,0.481,0.493,0.515,0.544,1
0.485,0.555,0.497,0.516,0.520,0.551,0.498,0.499,0.528,0.505,1
0.495,0.576,0.506,0.514,0.548,0.475,0.536,0.511,0.491,0.517,1
0.504,0.501,0.518,0.485,0.485,0.492,0.517,0.475,0.476,0.494,0
0.514,0.507,0.509,0.495,0.492,0.553,0.510,0.520,0.516,0.614,0
0.498,0.490,0.526,0.523,0.516,0.501,0.487,0.491,0.482,0.457,1
0.446,0.448,0.481,0.407,0.502,0.505,0.521,0.474,0.46,0.554,0
0.547,0.562,0.485,0.504,0.5,0.501,0.497,0.5,0.516,0.511,0
0.504,0.483,0.56,0.526,0.508,0.496,0.478,0.513,0.487,0.482,0
0.504,0.485,0.492,0.495,0.53,0.470,0.493,0.530,0.505,0.497,1
0.496,0.488,0.5,0.468,0.502,0.506,0.477,0.488,0.430,0.512,0
0.385,0.484,0.490,0.465,0.479,0.455,0.489,0.486,0.475,0.463,0
0.527,0.504,0.430,0.517,0.586,0.467,0.515,0.495,0.518,0.452,1
0.456,0.416,0.473,0.28,0.395,0.475,0.510,0.495,0.473,0.498,0
0.501,0.464,0.477,0.431,0.433,0.492,0.491,0.526,0.479,0.496,0
0.620,0.65,0.534,0.494,0.510,0.485,0.571,0.517,0.446,0.514,0
0.495,0.544,0.489,0.485,0.491,0.495,0.497,0.487,0.489,0.483,0
0.514,0.566,0.575,0.512,0.551,0.571,0.504,0.500,0.572,0.530,1
0.555,0.551,0.530,0.466,0.547,0.491,0.519,0.512,0.5,0.5,1
0.542,0.491,0.481,0.387,0.440,0.494,0.430,0.502,0.398,0.459,1
